Date,Station,Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-04-10,Amberd 3,79392.9441108826,15,7.44,63,1012,4,-177831.4957948409,-177641.50370945391,122423.2870269422,111584.42781704625,1.3803321069901564,5001755.478985604,0.8660254037844387,-0.49999999999999983,-1.782502176220112,-0.0010249855721433147,0.05102814571523619
2024-04-10,Amberd 3,38297.247706422015,15,7.44,63,1012,4,-41095.696404460585,-24285.12592076869,124971.54390767617,108115.12411407928,1.3803321069901564,2412726.605504587,0.8660254037844387,-0.49999999999999983,-3.695254989053403,0.061992603095650696,-0.0036567621504352715
2024-04-10,Amberd 3,257341.3739279019,15,7.44,63,1012,4,219044.1262214799,230537.70420313126,125010.52191506895,141049.08185738378,1.3803321069901564,16212506.55745782,0.8660254037844387,-0.49999999999999983,-0.5499236033993445,0.12851511708074512,-0.008537967282622445
2024-04-11,Amberd 3,63044.37095381413,13,2.76,68,1014,4,-194297.00297408778,-194084.0870943689,119560.99752937946,113322.78370104534,-0.6196678930098436,4287017.224859361,0.8660254037844387,-0.49999999999999983,5.097371809031747,0.019125472121867326,-0.0008900176079359748
2024-04-11,Amberd 3,39160.366972477066,13,2.76,68,1014,4,-23884.00398133706,-28146.26526587591,119848.7039513978,109301.88866306307,-0.6196678930098436,2662904.9541284405,0.8660254037844387,-0.49999999999999983,8.206271392808262,-0.17727851982675108,-0.003917167312313936
2024-04-11,Amberd 3,257475.3182530545,13,2.76,68,1014,4,218314.95128057743,226822.8411888343,119893.352059782,141705.15169003938,-0.6196678930098436,17508321.641207706,0.8660254037844387,-0.49999999999999983,1.248121961353473,-0.28540112440610843,-0.008601306157203354
2024-04-12,Amberd 3,27379.161519599973,13,0.0,61,1018,4,-230096.15673345453,-229845.27838612354,108004.94891504395,108870.11192059318,-0.6196678930098436,1670128.8526955983,0.8660254037844387,-0.49999999999999983,43.94155083121086,-0.043407705413985635,-0.0010249855721433147
2024-04-12,Amberd 3,41605.87155963303,13,0.0,61,1018,4,14226.710040033056,-37787.07255124957,108820.11711076261,103471.95869898608,-0.6196678930098436,2537958.1651376146,0.8660254037844387,-0.49999999999999983,28.91617871542663,-1.528217556436933,0.061992603095650696
2024-04-12,Amberd 3,257613.6202628071,13,0.0,61,1018,4,216007.74870317406,219316.37255638506,108866.21778068012,134802.86906418396,-0.6196678930098436,15714430.836031232,0.8660254037844387,-0.49999999999999983,4.670105627187327,-1.0056589069358801,0.12851511708074512
2024-04-13,Amberd 3,29880.306407485456,16,0.0,40,1013,4,-227733.31385532164,-227461.06752041646,109699.93274330864,102308.43084698162,2.3803321069901564,1195212.2562994182,0.8660254037844387,-0.49999999999999983,42.892635674646904,-0.16241887859846207,0.019125472121867326
