Station,Datetime,Energy Production (kWh)
Amberd 3,2022-06-13,100292.64
Amberd 3,2022-06-14,60809.56
Amberd 3,2022-06-15,30776.9
Amberd 3,2022-06-16,24619.7
Amberd 3,2022-06-17,29719.34
Amberd 3,2022-06-18,32356.100000000002
Amberd 3,2022-06-19,28392.980000000003
Amberd 3,2022-06-20,40280.24
Amberd 3,2022-06-21,21556.5
Amberd 3,2022-06-22,5441.8
Amberd 3,2022-06-23,28897.4
Amberd 3,2022-06-24,28993.3
Amberd 3,2022-06-25,35396.9
Amberd 3,2022-06-26,15806.7
Amberd 3,2022-06-27,41187.86
Amberd 3,2022-06-28,30646.0
Amberd 3,2022-06-29,28555.8
Amberd 3,2022-06-30,27138.86
Amberd 3,2022-07-01,25675.300000000003
Amberd 3,2022-07-02,30057.300000000003
Amberd 3,2022-07-03,22381.1
Amberd 3,2022-07-04,19934.46
Amberd 3,2022-07-05,20181.0
Amberd 3,2022-07-06,18693.5
Amberd 3,2022-07-07,18402.3
Amberd 3,2022-07-08,18334.4
Amberd 3,2022-07-09,18910.36
Amberd 3,2022-07-10,17597.3
Amberd 3,2022-07-11,16816.8
Amberd 3,2022-07-12,16398.2
Amberd 3,2022-07-13,15638.7
Amberd 3,2022-07-14,15061.76
Amberd 3,2022-07-15,15045.1
Amberd 3,2022-07-16,14371.7
Amberd 3,2022-07-17,14791.0
Amberd 3,2022-07-18,14716.1
Amberd 3,2022-07-19,13196.4
Amberd 3,2022-07-20,12570.6
Amberd 3,2022-07-21,12399.1
Amberd 3,2022-07-22,13743.800000000001
Amberd 3,2022-07-23,13684.300000000001
Amberd 3,2022-07-24,12893.300000000001
Amberd 3,2022-07-25,11806.9
Amberd 3,2022-07-26,11053.7
Amberd 3,2022-07-27,10773.7
Amberd 3,2022-07-28,12125.4
Amberd 3,2022-07-29,11404.68
Amberd 3,2022-07-30,10525.2
Amberd 3,2022-07-31,10490.06
Amberd 3,2022-08-01,10594.5
Amberd 3,2022-08-02,10146.5
Amberd 3,2022-08-03,12198.48
Amberd 3,2022-08-04,13894.58
Amberd 3,2022-08-05,13539.54
Amberd 3,2022-08-06,13342.28
Amberd 3,2022-08-07,13386.24
Amberd 3,2022-08-08,17190.88
Amberd 3,2022-08-09,14718.76
Amberd 3,2022-08-10,12591.880000000001
Amberd 3,2022-08-11,12248.46
Amberd 3,2022-08-12,12074.3
Amberd 3,2022-08-13,11581.92
Amberd 3,2022-08-14,10872.82
Amberd 3,2022-08-15,10677.8
Amberd 3,2022-08-16,10354.960000000001
Amberd 3,2022-08-17,10046.68
Amberd 3,2022-08-18,9930.2
Amberd 3,2022-08-19,9582.02
Amberd 3,2022-08-20,9637.880000000001
Amberd 3,2022-08-21,9411.92
Amberd 3,2022-08-22,9914.8
Amberd 3,2022-08-23,9755.62
Amberd 3,2022-08-24,10864.7
Amberd 3,2022-08-25,10252.62
Amberd 3,2022-08-26,10706.36
Amberd 3,2022-08-27,10841.32
Amberd 3,2022-08-28,10713.92
Amberd 3,2022-08-29,10572.380000000001
Amberd 3,2022-08-30,10226.720000000001
Amberd 3,2022-08-31,10950.94
Amberd 3,2022-09-01,9901.08
Amberd 3,2022-09-02,10032.12
Amberd 3,2022-09-03,9444.12
Amberd 3,2022-09-04,9777.6
Amberd 3,2022-09-05,9702.56
Amberd 3,2022-09-06,10709.02
Amberd 3,2022-09-07,15564.640000000001
Amberd 3,2022-09-08,10307.64
Amberd 3,2022-09-09,9165.380000000001
Amberd 3,2022-09-10,9142.0
Amberd 3,2022-09-11,9106.44
Amberd 3,2022-09-12,8701.42
Amberd 3,2022-09-13,8329.44
Amberd 3,2022-09-14,8738.1
Amberd 3,2022-09-15,9128.0
Amberd 3,2022-09-16,9105.6
Amberd 3,2022-09-17,9037.7
Amberd 3,2022-09-18,9882.6
Amberd 3,2022-09-19,9605.960000000001
Amberd 3,2022-09-20,9463.300000000001
Amberd 3,2022-09-21,9601.62
Amberd 3,2022-09-22,14658.28
Amberd 3,2022-09-23,15583.82
Amberd 3,2022-09-24,11323.76
Amberd 3,2022-09-25,9906.12
Amberd 3,2022-09-26,9700.880000000001
Amberd 3,2022-09-27,9751.42
Amberd 3,2022-09-28,10075.52
Amberd 3,2022-09-29,10059.98
Amberd 3,2022-09-30,9969.68
Amberd 3,2022-10-01,9978.08
Amberd 3,2022-10-02,10010.98
Amberd 3,2022-10-03,9940.56
Amberd 3,2022-10-04,9667.7
Amberd 3,2022-10-05,9526.86
Amberd 3,2022-10-06,8570.66
Amberd 3,2022-10-07,11558.26
Amberd 3,2022-10-08,10855.460000000001
Amberd 3,2022-10-09,14084.56
Amberd 3,2022-10-10,12990.460000000001
Amberd 3,2022-10-11,10973.2
