DateTime,Station,Energy Production (kWh)
2022-05-22,Amberd 3,-8764.747256949253
2022-05-23,Amberd 3,12770.061859005858
2022-05-24,Amberd 3,-27594.084957067404
2022-05-25,Amberd 3,-68696.6999493822
2022-05-26,Amberd 3,-92482.42905905351
2022-05-27,Amberd 3,-85905.16278972797
2022-05-28,Amberd 3,-38606.390126890314
2022-05-29,Amberd 3,17717.310670718318
2022-05-30,Amberd 3,37712.69033818596
2022-05-31,Amberd 3,33769.20629143153
2022-06-01,Amberd 3,23062.72551491254
2022-06-02,Amberd 3,38505.289239154314
2022-06-03,Amberd 3,40887.52449123535
2022-06-04,Amberd 3,42499.772492459655
2022-06-05,Amberd 3,42160.79976132413
2022-06-06,Amberd 3,44562.13045851799
2022-06-07,Amberd 3,23947.778244879446
2022-06-08,Amberd 3,19383.025449710127
2022-06-09,Amberd 3,31728.427040908602
2022-06-10,Amberd 3,14358.98359546739
2022-06-11,Amberd 3,6268.285423478432
2022-06-12,Amberd 3,-826.2715297134564
2022-06-13,Amberd 3,14714.21100284686
2022-06-14,Amberd 3,-18470.892292179386
2022-06-15,Amberd 3,-42314.96311000776
2022-06-16,Amberd 3,-42502.85883817125
2022-06-17,Amberd 3,-31736.650012259128
2022-06-18,Amberd 3,-23792.94288108683
2022-06-19,Amberd 3,-22845.788287212046
2022-06-20,Amberd 3,-6467.106483891839
2022-06-21,Amberd 3,-21126.17910670377
2022-06-22,Amberd 3,-33606.82584967299
2022-06-23,Amberd 3,-6938.4425448829425
2022-06-24,Amberd 3,-4020.6807582610163
2022-06-25,Amberd 3,4848.544470855959
2022-06-26,Amberd 3,-12595.068971394969
2022-06-27,Amberd 3,14647.80646082899
2022-06-28,Amberd 3,5724.830231477747
2022-06-29,Amberd 3,5043.566925463179
2022-06-30,Amberd 3,4854.923108802508
2022-07-01,Amberd 3,4465.173118184535
2022-07-02,Amberd 3,9789.61696335506
2022-07-03,Amberd 3,2944.8239208609957
2022-07-04,Amberd 3,1232.7647566471678
2022-07-05,Amberd 3,2129.429721707831
