Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
Net2,1,0.3473546504974365,0.3038739562034607,0.5893680093943312,0.5512476360071403,0.4247843325138092,0.4032471776008606,0.6608270406723022,0.665122389793396
Net2,2,0.05218185484409332,0.054247669875621796,0.22843348012954082,0.23291129185941542,0.19426336884498596,0.19652579724788666,0.9490472674369812,0.9402175545692444
Net2,3,0.030422434210777283,0.03109780140221119,0.17442028038842639,0.1763456872231674,0.12129233032464981,0.12132936716079712,0.9702941179275513,0.9657293558120728
Net2,4,0.01496664248406887,0.013957065530121326,0.12233822985505745,0.11814002509785296,0.08953385800123215,0.08770915865898132,0.9853858947753906,0.9846189022064209
Net2,5,0.0071586864069104195,0.007114695850759745,0.08460902083649485,0.08434865648461595,0.06524455547332764,0.06504620611667633,0.9930099248886108,0.9921594262123108
Net2,6,0.005248775705695152,0.005879250820726156,0.07244843480500564,0.07667627286668384,0.0536709763109684,0.055925481021404266,0.9948748350143433,0.9935209155082703
Net2,7,0.0037014572881162167,0.003860022872686386,0.06083960295823944,0.06212908234222027,0.04350971430540085,0.044247955083847046,0.9963857531547546,0.9957461357116699
Net2,8,0.0029430678114295006,0.0030987150967121124,0.0542500489532452,0.055666103660235756,0.03868020698428154,0.039184797555208206,0.9971262812614441,0.9965851306915283
Net2,9,0.0024700299836695194,0.0025847938377410173,0.04969939621031144,0.050840867790990917,0.035612065345048904,0.036070458590984344,0.9975881576538086,0.9971514940261841
Net2,10,0.0021053014788776636,0.002343455795198679,0.04588356436544205,0.04840925319810954,0.03324280306696892,0.034526288509368896,0.9979442954063416,0.9974174499511719
Net2,11,0.0018270426662638783,0.0020289684180170298,0.042743919640855096,0.04504407195200085,0.030845357105135918,0.0320744663476944,0.9982159733772278,0.997763991355896
Net2,12,0.0016416300786659122,0.0019250033656135201,0.040517034425854914,0.04387486029166954,0.029350951313972473,0.031122898682951927,0.9983970522880554,0.9978786110877991
Net2,13,0.0014186172047629952,0.0016468721441924572,0.037664535106157825,0.040581672515957956,0.026935527101159096,0.028492648154497147,0.9986147880554199,0.9981850981712341
Net2,14,0.0013400346506386995,0.0015151851112022996,0.036606483724044014,0.03892537875477,0.026628050953149796,0.028036341071128845,0.9986915588378906,0.9983302354812622
Net2,15,0.001163630629889667,0.0013863182393833995,0.03411203057411955,0.03723329476937811,0.024506932124495506,0.026381487026810646,0.9988637566566467,0.9984722137451172
Net2,16,0.0010571455350145698,0.0012536498252302408,0.03251377454271604,0.03540691775953169,0.02335292473435402,0.025006497278809547,0.9989677667617798,0.9986184239387512
Net2,17,0.0010124704567715526,0.0012442914303392172,0.03181934092295993,0.03527451530977027,0.023205362260341644,0.024991074576973915,0.9990113973617554,0.9986287355422974
Net2,18,0.0008988045738078654,0.0010860466863960028,0.029980069609790192,0.032955222444947974,0.021453212946653366,0.023199746385216713,0.9991223812103271,0.9988031387329102
Net2,19,0.0008339133928529918,0.000999762094579637,0.028877558637339686,0.031619014762949794,0.020853959023952484,0.02237044833600521,0.9991857409477234,0.9988982081413269
Net2,20,0.0007655596127733588,0.0009313424816355109,0.027668747943724502,0.03051790427987333,0.019853880628943443,0.021530868485569954,0.9992524981498718,0.9989736080169678
Net2,21,0.0007155412458814681,0.0008766351966187358,0.02674960272380635,0.029608025881823593,0.019279561936855316,0.02098808065056801,0.9993013143539429,0.9990339279174805
Net2,22,0.0006693338509649038,0.000840206106659025,0.025871487219812157,0.02898630895196946,0.018737146630883217,0.02037416771054268,0.9993464350700378,0.9990740418434143
Net2,23,0.0006176400347612798,0.000755392829887569,0.024852364772014753,0.027484410670188454,0.01770579069852829,0.019095249474048615,0.9993969202041626,0.9991675615310669
Net2,24,0.0005862454418092966,0.0007315740804187953,0.02421250589693881,0.027047626151268715,0.017327547073364258,0.018833715468645096,0.9994275569915771,0.9991937875747681
Net2,25,0.0005442604306153953,0.0006918361177667975,0.02332938984661612,0.026302777757620917,0.016719771549105644,0.018215173855423927,0.9994685649871826,0.999237596988678
Net2,26,0.0005227255751378834,0.0006491669919341803,0.02286319258410521,0.025478755698310315,0.01634185202419758,0.017564067617058754,0.9994896054267883,0.9992846250534058
Net2,27,0.0004958134959451854,0.0006331735057756305,0.02226686991800117,0.025162939132295944,0.016210587695240974,0.017627421766519547,0.9995158910751343,0.9993022084236145
Net2,28,0.00046793188084848225,0.0005971353966742754,0.02163173319104325,0.024436353997155047,0.015611541457474232,0.01691005937755108,0.9995430707931519,0.9993419647216797
Net2,29,0.0004467058170121163,0.0005754936719313264,0.02113541617787822,0.023989449179406482,0.015089571475982666,0.016347019001841545,0.9995638132095337,0.9993658065795898
Net2,30,0.00042301841313019395,0.0005505771259777248,0.020567411434845025,0.023464379940192855,0.014723547734320164,0.015960199758410454,0.9995869398117065,0.9993932247161865
Net2,31,0.00040568740223534405,0.0005445374990813434,0.020141683202635874,0.023335327276071006,0.014442452229559422,0.01582774519920349,0.9996038675308228,0.9993999004364014
Net2,32,0.00039045908488333225,0.0005204511689953506,0.01976003757292309,0.022813398891777407,0.01421547494828701,0.015497407875955105,0.9996187090873718,0.9994264245033264
Net2,33,0.0003740111133083701,0.0005101237329654396,0.019339366931426946,0.022585918909033557,0.013967732898890972,0.015284933149814606,0.9996348023414612,0.9994378089904785
Net2,34,0.0003598154289647937,0.00048060555127449334,0.01896880146358208,0.021922717698189095,0.013675842434167862,0.014845957979559898,0.9996486306190491,0.9994703531265259
Net2,35,0.00034933810820803046,0.00048365298425778747,0.018690588760336857,0.0219921118644342,0.013373274356126785,0.014768744818866253,0.9996588826179504,0.9994670152664185
Net2,36,0.0003458707360550761,0.0004660473205149174,0.01859760027678507,0.0215881291573614,0.013302554376423359,0.014588210731744766,0.9996622800827026,0.9994863867759705
Net2,37,0.00031953855068422854,0.0004561413952615112,0.01787564126637779,0.021357466967351517,0.012831791304051876,0.014262199401855469,0.9996879696846008,0.9994972944259644
Net2,38,0.0003111612459179014,0.0004553502076305449,0.01763976320470038,0.021338936422196513,0.012701340019702911,0.014189725741744041,0.9996961951255798,0.999498188495636
Net2,39,0.0003055982233490795,0.0004446386592462659,0.017481367891245797,0.021086456773158117,0.01273470837622881,0.014234003610908985,0.9997016191482544,0.9995099902153015
Net2,40,0.0002870098396670073,0.0004232369246892631,0.01694136475219772,0.020572722831197213,0.012133819982409477,0.013631404377520084,0.9997197389602661,0.9995335936546326
Net2,41,0.0002801789960358292,0.00041449029231444,0.01673854820573843,0.020359034660671904,0.012180116027593613,0.013670568354427814,0.999726414680481,0.9995432496070862
Net2,42,0.0002707719977479428,0.0004032530705444515,0.016455151100732646,0.020081162081524353,0.011934909038245678,0.013428384438157082,0.9997355937957764,0.9995555877685547
Net2,43,0.0002724282967392355,0.00040286139119416475,0.016505402047185508,0.02007140730477474,0.01187526248395443,0.013482807204127312,0.9997339844703674,0.9995560646057129
Net2,44,0.00025273708160966635,0.0003948671801481396,0.015897706803487927,0.019871265187404136,0.011381697840988636,0.01309243869036436,0.9997532367706299,0.9995648264884949
Net2,45,0.0002547417825553566,0.0003908193320967257,0.015960632273044718,0.01976915102114215,0.011845170520246029,0.013409729115664959,0.9997512698173523,0.999569296836853
Net2,46,0.00024863294675014913,0.00038554647471755743,0.015768099021446724,0.019635337397599192,0.011796636506915092,0.013382413424551487,0.9997572302818298,0.999575138092041
Net2,47,0.0002513299114070833,0.00040914403507485986,0.0158533880103618,0.020227309140734954,0.011524034664034843,0.013439805246889591,0.9997546076774597,0.9995490908622742
Net2,48,0.0002282297791680321,0.00038303673500195146,0.015107275703052226,0.01957132430373457,0.011071309447288513,0.013020605780184269,0.9997771382331848,0.9995778799057007
Net2,49,0.00021878718689549714,0.00036558977444656193,0.014791456550843705,0.01912040204719979,0.010644142515957355,0.012645941227674484,0.999786376953125,0.9995971322059631
Net2,50,0.0002116891701007262,0.00035378619213588536,0.014549541920649124,0.01880920498415298,0.010440643876791,0.01238655298948288,0.999793291091919,0.9996101260185242
Net2,51,0.00020728062372654676,0.00035082746762782335,0.014397243615586518,0.018730388880848773,0.010379979386925697,0.012317166663706303,0.9997975826263428,0.9996134042739868
Net2,52,0.00020186137408018112,0.00034655004856176674,0.014207792723719654,0.01861585476312508,0.010353335179388523,0.012344108894467354,0.9998028874397278,0.9996181130409241
Net2,53,0.00019574245379772037,0.0003499109297990799,0.013990798897765645,0.018705906281147672,0.010099249891936779,0.01231385674327612,0.9998088479042053,0.999614417552948
Net2,54,0.0001890862185973674,0.0003344030992593616,0.013750862467400633,0.018286691862099105,0.009854464791715145,0.011944361962378025,0.9998153448104858,0.9996314644813538
Net2,55,0.00018919692956842482,0.00033608602825552225,0.013754887479308031,0.018332649242690548,0.009971055202186108,0.012206746265292168,0.9998152852058411,0.9996296167373657
Net2,56,0.00017854546604212373,0.0003223844396416098,0.013362090631414072,0.017955067241355843,0.00958765484392643,0.011784522794187069,0.999825656414032,0.9996446967124939
Net2,57,0.00017366683459840715,0.000324712076690048,0.013178271305387788,0.018019769052073004,0.009431385435163975,0.01178793329745531,0.999830424785614,0.9996421337127686
Net2,58,0.00017618828860577196,0.0003274980408605188,0.013273593658304142,0.018096906941809664,0.00959342997521162,0.012040091678500175,0.9998279809951782,0.999639093875885
Net2,59,0.00016818210133351386,0.00031131249852478504,0.012968504205709842,0.017644049946789003,0.00939377211034298,0.011625967919826508,0.9998357892036438,0.9996569156646729
Net2,60,0.0001644047733861953,0.0003177231701556593,0.012822042481063433,0.017824790886730182,0.009190134704113007,0.011563898995518684,0.9998394846916199,0.9996498823165894
Net2,61,0.0001618939422769472,0.00031729580950923264,0.012723755038389697,0.017812799036345542,0.009198008105158806,0.011715948581695557,0.9998419284820557,0.9996503591537476
Net2,62,0.00015813867503311485,0.00029979966348037124,0.012575320076766032,0.017314723892698124,0.009090188890695572,0.011360639706254005,0.999845564365387,0.99966961145401
Net2,63,0.00015195495507214218,0.00030770187731832266,0.012327001057521743,0.017541433160329935,0.008870008401572704,0.011386468075215816,0.999851644039154,0.9996609091758728
Net2,64,0.00014724717766512185,0.000297594495350495,0.012134544806671648,0.017250927376535295,0.008729813620448112,0.011252314783632755,0.9998562335968018,0.9996720552444458
Net2,65,0.00014452190953306854,0.00029733835253864527,0.01202172656206539,0.0172435017481556,0.008667927235364914,0.011222360655665398,0.9998588562011719,0.9996723532676697
Net2,66,0.00014020998787600547,0.00029852765146642923,0.01184102984862404,0.017277952756806266,0.008531585335731506,0.011152755469083786,0.9998630881309509,0.9996710419654846
Net2,67,0.00014100281987339258,0.0003050986852031201,0.011874460824533997,0.017467074317215236,0.008564172312617302,0.011283407919108868,0.9998623132705688,0.999663770198822
Net2,68,0.00013285411114338785,0.0002889988536480814,0.011526235775108362,0.016999966283733667,0.008357049897313118,0.010993830859661102,0.9998703002929688,0.9996815323829651
Net2,69,0.00013300155114848167,0.00029290057136677206,0.011532629845290347,0.017114338180799514,0.00823020376265049,0.010939044877886772,0.9998701214790344,0.9996772408485413
Net2,70,0.00013280182611197233,0.00028521369677037,0.011523967464027843,0.016888270982263698,0.008536173962056637,0.011066392995417118,0.9998703002929688,0.9996857047080994
Net2,71,0.00012928889191243798,0.00027995125856250525,0.011370527336603082,0.01673174403827961,0.008293704129755497,0.010796952992677689,0.9998737573623657,0.9996914863586426
Net2,72,0.00012519623851403594,0.00028889812529087067,0.011189112498944496,0.016997003420923074,0.008108801208436489,0.011018708348274231,0.9998777508735657,0.9996816515922546
Net2,73,0.0001223141880473122,0.0002754637389443815,0.011059574496666325,0.016597100317356086,0.00799971166998148,0.010622669011354446,0.9998805522918701,0.9996964335441589
Net2,74,0.00012402610445860773,0.0002747795369941741,0.01113670078877078,0.01657647540927124,0.007946867495775223,0.010596560314297676,0.9998788833618164,0.999697208404541
Net2,75,0.00011827707203337923,0.0002712733403313905,0.0108755262876506,0.016470377662075344,0.007867412641644478,0.010640964843332767,0.9998844861984253,0.9997010231018066
Net2,76,0.00011291483679087833,0.0002702499332372099,0.010626139317309853,0.016439280192186333,0.007697792258113623,0.010549422353506088,0.9998897314071655,0.9997021555900574
Net2,77,0.00011128372716484591,0.0002703907957766205,0.010549110254653988,0.016443563962128784,0.007578497286885977,0.010424458421766758,0.9998913407325745,0.9997020363807678
Net2,78,0.00010968818969558924,0.0002748016268014908,0.01047321295952628,0.016577141695765612,0.00754966028034687,0.010603437200188637,0.9998928904533386,0.9996971487998962
Net2,79,0.00010817308066179976,0.00026378227630630136,0.010400628858958469,0.01624137544379482,0.0075946287252008915,0.01037943921983242,0.999894380569458,0.9997093081474304
Net2,80,0.00010514663154026493,0.00026763754431158304,0.010254103156310888,0.016359631545715906,0.007451546378433704,0.010430104099214077,0.999897301197052,0.9997050762176514
Net2,81,0.00010542178642936051,0.00026779851759783924,0.010267511209117841,0.01636455063843304,0.007413900922983885,0.010358401574194431,0.9998970627784729,0.999704897403717
Net2,82,0.00010474414739292115,0.00026978185633197427,0.010234458822669676,0.016425037483426767,0.007581445388495922,0.01050273235887289,0.9998977184295654,0.9997026920318604
Net2,83,0.000101430770882871,0.00026512041222304106,0.010071284470357841,0.016282518608097492,0.007315950933843851,0.010301420465111732,0.9999009370803833,0.999707818031311
Net2,84,0.00010391362593509257,0.0002714439469855279,0.010193803310594754,0.016475556044805526,0.007614209316670895,0.01058459747582674,0.9998985528945923,0.9997008442878723
Net2,85,9.530054376227781e-05,0.0002551639045123011,0.009762199739929409,0.015973850647614717,0.007054116111248732,0.010085668414831161,0.9999069571495056,0.9997187852859497
Net2,86,9.832704381551594e-05,0.00024842299171723425,0.009915999385614943,0.0157614400267626,0.007331246044486761,0.010053561069071293,0.9999039769172668,0.9997262358665466
Net2,87,9.510322706773877e-05,0.0002557047992013395,0.009752088343926072,0.01599077231409851,0.00705743720754981,0.010146738030016422,0.9999071359634399,0.999718189239502
