Model,Epoch,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
CNN1D,1,0.3122553825378418,2.2904443740844727,0.5587981590322589,1.5134214132502792,0.30965152382850647,1.4117136001586914,0.6881586313247681,0.06567239761352539
CNN1D,2,0.2251604050397873,1.7127668857574463,0.4745107006588864,1.3087272006638535,0.255337655544281,1.1831998825073242,0.7751381397247314,0.30132097005844116
CNN1D,3,0.12811531126499176,0.9914474487304688,0.3579319925139296,0.995714541789196,0.20248576998710632,0.8628664612770081,0.8720545768737793,0.595564603805542
CNN1D,4,0.06857399642467499,0.4423155188560486,0.26186637131307067,0.6650680558078613,0.1530635505914688,0.5428719520568848,0.9315169453620911,0.8195688128471375
CNN1D,5,0.04584113880991936,0.2904609441757202,0.21410543853419362,0.5389442867084874,0.12078868597745895,0.4064631760120392,0.9542196393013,0.8815139532089233
CNN1D,6,0.03988275304436684,0.2233029156923294,0.19970666750102972,0.4725493791047973,0.11070678383111954,0.33799001574516296,0.9601701498031616,0.9089093208312988
CNN1D,7,0.03159664571285248,0.18600670993328094,0.17775445342621513,0.43128495212942564,0.09107126295566559,0.2945888936519623,0.9684452414512634,0.9241233468055725
CNN1D,8,0.03170206397771835,0.16863510012626648,0.1780507342801999,0.41065204264226723,0.09515380859375,0.3093031346797943,0.9683399796485901,0.9312096834182739
CNN1D,9,0.02960091456770897,0.2033868134021759,0.17204916322873812,0.45098427179024314,0.09035874903202057,0.30577701330184937,0.9704383611679077,0.9170336127281189
CNN1D,10,0.02776128426194191,0.1766684353351593,0.1666171787720039,0.4203194443933796,0.08983184397220612,0.27644771337509155,0.9722755551338196,0.9279326796531677
