Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-12-23,Amberd 3,-135.84830935919308,18166.60550458715,2,0.0,57,1022,12,-2003.4293574601943,-2643.147081338586,107540.86477403551,94688.3458611794,-11.545579974376663,1035496.5137614676,-2.4492935982947064e-16,1.0,-0.5580829375838611,20170.034862047345,20809.752585925737
2024-12-23,Amberd 3,-135.84830935919308,284356.0010413045,2,0.0,57,1022,12,266189.3955367173,266324.44140827697,107564.21380264634,132734.69463379038,-11.545579974376663,16208292.059354356,-2.4492935982947064e-16,1.0,2.420562675611879,18166.60550458715,18031.55963302752
2024-12-24,Amberd 3,138.4647470168893,20392.98973741088,3,0.0,56,1022,12,-263963.01130389364,-263823.4068947728,107638.53209443418,95045.63650596573,-10.545579974376663,1142007.4252950093,-2.4492935982947064e-16,1.0,-0.5331698127953349,284356.0010413045,284216.39663218363
2024-12-24,Amberd 3,138.4647470168893,18395.59633027523,3,0.0,56,1022,12,-1997.3934071356489,-1667.5034684610837,107714.86236966355,94807.42172475698,-10.545579974376663,1030153.3944954129,-2.4492935982947064e-16,1.0,-0.5555205420495739,20392.98973741088,20063.099798736315
2024-12-24,Amberd 3,138.4647470168893,284426.66019054473,3,0.0,56,1022,12,266031.0638602695,266541.8895483429,107738.41541941029,132884.8345173774,-10.545579974376663,15927892.970670504,-2.4492935982947064e-16,1.0,2.4213533478491867,18395.59633027523,17884.770642201835
2024-12-25,Amberd 3,-84.74200465404465,20263.1535366474,3,0.0,61,1026,12,-264163.50665389735,-264022.8004188246,107695.13668582246,95167.29160040246,-10.545579974376663,1236052.3657354915,-2.4492935982947064e-16,1.0,-0.5346226731884336,284426.66019054473,284285.953955472
2024-12-25,Amberd 3,-84.74200465404465,18154.8623853211,3,0.0,61,1026,12,-2108.2911513263025,-2015.1724767262458,107614.89203750443,94879.409818013,-10.545579974376663,1107446.605504587,-2.4492935982947064e-16,1.0,-0.5582143424830552,20263.1535366474,20170.034862047345
2024-12-25,Amberd 3,-84.74200465404465,284497.09542437526,3,0.0,61,1026,12,266342.23303905415,266330.4899197881,107638.37044878128,132926.622663697,-10.545579974376663,17354322.82088689,-2.4492935982947064e-16,1.0,2.4221415144846032,18154.8623853211,18166.60550458715
2024-12-26,Amberd 3,149.89595879055378,20015.783399041167,3,0.0,60,1026,12,-264481.3120253341,-264340.21764226333,107555.91373624587,95163.73442908797,-10.545579974376663,1200947.00394247,-2.4492935982947064e-16,1.0,-0.5373907322755762,284497.09542437526,284356.0010413045
2024-12-26,Amberd 3,149.89595879055378,17949.357798165136,3,0.0,60,1026,12,-2066.4256008760312,-2443.6319392457444,107487.41220719386,94814.64415205285,-10.545579974376663,1076961.4678899082,-2.4492935982947064e-16,1.0,-0.5605139282189538,20015.783399041167,20392.98973741088
