Date,Station,Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-02-08,Amberd 3,253804.97359174924,2,0.0,67,1025,2,234011.94606881344,247020.38643578594,98928.6253164297,117025.93745962647,-11.619667893009844,17004933.2306472,0.8660254037844386,0.5000000000000001,-0.5080538276160368,0.26858090453302585,-0.7248211311848788
2024-02-09,Amberd 3,21957.648442530008,3,0.0,63,1023,2,-231847.32514921922,-231779.87447577826,98518.54985240508,83914.52682022957,-10.619667893009844,1383331.8518793904,0.8660254037844386,0.5000000000000001,-4.617419437982185,0.020945331213674777,-0.019380705228177718
2024-02-09,Amberd 3,19361.467889908257,3,0.0,63,1023,2,-2596.1805526217504,9947.397006561769,98374.69664139592,85335.58353545268,-10.619667893009844,1219772.4770642202,0.8660254037844386,0.5000000000000001,-5.236569525999802,0.19036049769531174,-0.5484665994321377
2024-02-09,Amberd 3,253878.9000609757,3,0.0,63,1023,2,234517.43217106743,248383.12024446193,98399.33879780474,120818.88642751866,-10.619667893009844,15994370.703841468,0.8660254037844386,0.5000000000000001,-0.3993544666633044,0.21588594984150783,-0.9395033310263662
2024-02-10,Amberd 3,17608.324982552076,4,0.0,60,1024,2,-236270.5750784236,-236139.9876673757,96949.56431114541,87084.60247503642,-9.619667893009844,1056499.4989531245,0.8660254037844386,0.5000000000000001,-0.21257034981077297,0.016464026292593806,-0.02034812917682517
2024-02-10,Amberd 3,14893.211009174312,4,0.0,60,1024,2,-2715.1139733777636,-8294.663825429529,95460.14535090078,85899.65049997506,-9.619667893009844,893592.6605504587,0.8660254037844386,0.5000000000000001,-0.2513230893470287,0.008763552483966779,0.2292590103006734
2024-02-10,Amberd 3,253943.7020471418,4,0.0,60,1024,2,239050.49103796747,234150.67452420603,95481.74601295614,119349.7468605759,-9.619667893009844,15236622.122828508,0.8660254037844386,0.5000000000000001,-0.014739518133149134,0.010361196121124025,0.26858090453302585
2024-02-11,Amberd 3,16737.70322816137,5,0.0,59,1026,2,-237205.9988189804,-237067.27036358786,95191.53876149257,85482.99395149192,-8.619667893009844,987524.4904615207,0.8660254037844386,0.5000000000000001,0.2995483747204612,0.0006076601974979964,0.020945331213674777
2024-02-11,Amberd 3,13765.871559633028,5,0.0,59,1026,2,-2971.8316685283407,-8191.77688289698,94815.75894497882,84312.74011107809,-8.619667893009844,812186.4220183486,0.8660254037844386,0.5000000000000001,0.3642160815484764,-0.01234936060314405,0.19036049769531174
2024-02-11,Amberd 3,254000.09756114607,5,0.0,59,1026,2,240234.22600151305,234638.6296712378,94834.55744964692,117832.54434982633,-8.619667893009844,14986005.756107619,0.8660254037844386,0.5000000000000001,0.019739172727452126,-0.015015390194333851,0.21588594984150783
2024-02-12,Amberd 3,16726.347292234535,6,0.0,53,1026,2,-237273.75026891154,-237152.55276874115,94830.7721376713,83953.60824000617,-7.619667893009844,886496.4064884303,0.8660254037844386,0.5000000000000001,0.2046015904308101,-0.0008137789505502595,0.016464026292593806
2024-02-12,Amberd 3,13572.11009174312,6,0.0,53,1026,2,-3154.237200491416,-4036.2148908089566,94766.18498170801,83377.00611274775,-7.619667893009844,719321.8348623853,0.8660254037844386,0.5000000000000001,0.25215218819741597,-0.008435027639741924,0.008763552483966779
2024-02-12,Amberd 3,254055.2246404791,6,0.0,53,1026,2,240483.114548736,239162.01363130478,94784.560674819,117543.008060077,-7.619667893009844,13464926.905945392,0.8660254037844386,0.5000000000000001,0.013470446289511136,-0.010395377046621083,0.010361196121124025
2024-02-13,Amberd 3,16787.858611838226,7,0.0,46,1021,2,-237267.36602864088,-237155.84343530357,94805.06444802025,83663.60185503366,-6.619667893009844,772241.4961445584,0.8660254037844386,0.5000000000000001,0.2174113168714759,-0.0005553406820173739,0.0006076601974979964
2024-02-13,Amberd 3,13440.0,7,0.0,46,1021,2,-3347.8586118382264,-3297.7032281613683,94761.02775077254,83192.50139386774,-6.619667893009844,618240.0,0.8660254037844386,0.5000000000000001,0.271567741685409,-0.00896312908976994,-0.01234936060314405
2024-02-13,Amberd 3,254109.69003719697,7,0.0,46,1021,2,240669.69003719697,240343.81847756394,94779.18288301182,117527.3326049483,-6.619667893009844,11689045.741711061,0.8660254037844386,0.5000000000000001,0.014363365866597307,-0.011195814276689881,-0.015015390194333851
2024-02-14,Amberd 3,16849.369931441917,8,0.14,44,1016,2,-237260.32010575506,-237150.72762970417,94799.68665621303,83648.65722927627,-5.619667893009844,741372.2769834443,0.8660254037844386,0.5000000000000001,0.46446412679827576,-0.0005921527189958231,-0.0008137789505502595
2024-02-14,Amberd 3,13404.770642201836,8,0.14,44,1016,2,-3444.599289240081,-3321.576650032699,94787.94353694697,83174.1462792716,-5.619667893009844,589809.9082568808,0.8660254037844386,0.5000000000000001,0.5838166203060693,-0.019148276115365393,-0.008435027639741924
2024-02-14,Amberd 3,254163.87491067668,8,0.14,44,1016,2,240759.10426847485,240591.76481893356,94806.00516144023,117544.3983962621,-5.619667893009844,11183210.496069774,0.8660254037844386,0.5000000000000001,0.030790874175406074,-0.024068773456029053,-0.010395377046621083
2024-02-15,Amberd 3,17686.870206046024,7,3.17,78,1015,2,-236477.00470463064,-236368.35443443307,95085.17191964161,83777.49061991452,-6.619667893009844,1379575.8760715898,0.8660254037844386,0.5000000000000001,-0.8834953105495956,-0.0012694030098910492,-0.0005553406820173739
2024-02-15,Amberd 3,13648.440366972478,7,3.17,78,1015,2,-4038.4298390735457,-3139.4182448657484,95166.39516123182,83329.00229921941,-6.619667893009844,1064578.3486238532,0.8660254037844386,0.5000000000000001,-1.1449122731381556,0.03642350652493267,-0.00896312908976994
2024-02-15,Amberd 3,254218.5362683211,7,3.17,78,1015,2,240570.09590134863,240778.5362683211,95184.61561377994,117725.93605183673,-6.619667893009844,19829045.828929044,0.8660254037844386,0.5000000000000001,-0.06146785012107811,0.04720083870641229,-0.011195814276689881
2024-02-16,Amberd 3,17051.884122137148,8,5.06,76,1016,2,-237166.65214618394,-237057.8059150598,94972.95358581032,83860.53520682818,-5.619667893009844,1295943.1932824233,0.8660254037844386,0.5000000000000001,-0.37299268350324066,0.002534110383184644,-0.0005921527189958231
2024-02-16,Amberd 3,13428.256880733945,8,5.06,76,1016,2,-3623.627241403203,-3421.1130507079724,94899.55909039748,83371.80477101274,-5.619667893009844,1020547.5229357798,0.8660254037844386,0.5000000000000001,-0.47364509585957565,0.015377219640114648,-0.019148276115365393
2024-02-16,Amberd 3,254273.07658305363,8,5.06,76,1016,2,240844.81970231968,240868.3059408518,94917.73919530834,117781.56276256301,-5.619667893009844,19324753.820312075,0.8660254037844386,0.5000000000000001,-0.025013375788626935,0.01952677624153068,-0.024068773456029053
2024-02-17,Amberd 3,16983.748506576136,7,0.03,59,1015,2,-237289.32807647748,-237180.12640410053,94895.02732345466,83898.68756197722,-6.619667893009844,1002041.161887992,0.8660254037844386,0.5000000000000001,0.25934817409904604,0.0010312164030399822,-0.0012694030098910492
2024-02-17,Amberd 3,13205.1376146789,7,0.03,59,1015,2,-3778.610891897235,-4481.732591367123,94820.65423476964,83258.44004892476,-6.619667893009844,779103.1192660552,0.8660254037844386,0.5000000000000001,0.333559883513946,-0.01069204306885305,0.03642350652493267
2024-02-17,Amberd 3,254326.8257859141,7,0.03,59,1015,2,241121.68817123518,240678.38541894162,94838.57063572312,117641.06653734499,-6.619667893009844,15005282.721368931,0.8660254037844386,0.5000000000000001,0.017319070259012668,-0.01375153942364245,0.04720083870641229
2024-02-18,Amberd 3,16822.872747612633,7,0.17,48,1017,2,-237503.95303830146,-237395.66352070848,94784.9453827353,83727.40032010093,-6.619667893009844,807497.8918854063,0.8660254037844386,0.5000000000000001,0.1341974475331976,-0.0007140063575351639,0.002534110383184644
2024-02-18,Amberd 3,13363.669724770642,7,0.17,48,1017,2,-3459.2030228419917,-3688.214397366506,94837.78941943253,83200.5125490486,-6.619667893009844,641456.1467889908,0.8660254037844386,0.5000000000000001,0.1689346286911586,-0.005532504301368721,0.015377219640114648
2024-02-18,Amberd 3,254380.54326043624,7,0.17,48,1017,2,241016.8735356656,240952.2863797023,94855.69524427324,117622.2677461489,-6.619667893009844,12210266.07650094,0.8660254037844386,0.5000000000000001,0.00887483985201681,-0.0069646001251458586,0.01952677624153068
2024-02-19,Amberd 3,16846.530947460207,6,0.03,50,1019,2,-237534.01231297603,-237426.54563559341,94863.5813108891,83704.18979820698,-7.619667893009844,842326.5473730103,0.8660254037844386,0.5000000000000001,-0.11181092943015769,-0.00036587946013723723,0.0010312164030399822
2024-02-19,Amberd 3,12926.238532110092,6,0.03,50,1019,2,-3920.2924153501153,-4057.509974466044,94717.7709133356,83124.54551614041,-7.619667893009844,646311.9266055046,0.8660254037844386,0.5000000000000001,-0.14572114526823263,0.004609584305687743,-0.01069204306885305
