Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,Efficiency,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-02-27,Amberd2,-1689.2313126545923,15788.536250276717,1,0.0,36,1026,2,-0.10699100194452707,-239007.2774261047,-238905.88232268186,94160.04324772407,83022.79226505184,-12.619667893009844,568387.3050099618,0.8660254037844386,0.5000000000000001,3.0763620864223684,-0.007907448722872894,-0.010763006633859451
2024-02-27,Amberd2,-1689.2313126545923,11599.266055045871,1,0.0,36,1026,2,-0.14563260335939524,-4189.270195230845,-4316.07814641384,94061.20532723477,82406.20967270702,-12.619667893009844,417573.57798165135,0.8660254037844386,0.5000000000000001,4.187442040725257,-0.10699100194452707,-0.1487123377861677
2024-02-27,Amberd2,-1689.2313126545923,254845.01133030144,1,0.0,36,1026,2,-0.006628465292833222,243245.74527525555,242708.49756883355,94077.60454520809,117078.85218254037,-12.619667893009844,9174420.407890853,0.8660254037844386,0.5000000000000001,0.19059134831367713,-0.14563260335939524,-0.19501547885892567
2024-02-28,Amberd2,-1391.2831761814014,16096.092848295171,1,0.0,33,1027,2,-0.08643608043853698,-238748.91848200627,-238649.24257929486,94180.12341121426,82986.10324264111,-12.619667893009844,531171.0639937406,0.8660254037844386,0.5000000000000001,2.485336859429901,-0.006628465292833222,-0.009290878825702203
2024-02-28,Amberd2,-1391.2831761814014,11942.752293577982,1,0.0,33,1027,2,-0.11649602553755896,-4153.34055471719,-3939.4704280951264,94294.61882405827,82423.32175291325,-12.619667893009844,394110.8256880734,0.8660254037844386,0.5000000000000001,3.349664454665581,-0.08643608043853698,-0.12685786282919065
2024-02-28,Amberd2,-1391.2831761814014,254894.36231456127,1,0.0,33,1027,2,-0.005458273629702488,242951.6100209833,242998.5824980475,94311.06915214489,117137.40496692002,-12.619667893009844,8411513.956380522,0.8660254037844386,0.5000000000000001,0.15694428266446087,-0.11649602553755896,-0.16936971451436345
2024-02-29,Amberd2,-1121.7155421516218,16002.406376898782,3,0.0,30,1028,2,-0.07009667894517042,-238891.95593766248,-238793.40729948264,94279.84032834608,83024.06106699393,-10.619667893009844,480072.19130696345,0.8660254037844386,0.5000000000000001,2.0155224418110445,-0.005458273629702488,-0.007907448722872894
2024-02-29,Amberd2,-1121.7155421516218,11763.669724770642,3,0.0,30,1028,2,-0.0953542192526569,-4238.73665212814,-4024.866525506075,94220.14613874363,82449.08013477876,-10.619667893009844,352910.09174311924,0.8660254037844386,0.5000000000000001,2.74176425641264,-0.07009667894517042,-0.10699100194452707
2024-02-29,Amberd2,-1121.7155421516218,254944.32885653933,3,0.0,30,1028,2,-0.004399845045318998,243180.65913176868,243345.06280149345,94236.80165273634,117212.66053499212,-10.619667893009844,7648329.86569618,0.8660254037844386,0.5000000000000001,0.12651079284751998,-0.0953542192526569,-0.14563260335939524
2024-03-01,Amberd2,-881.0998787027493,16409.138148678267,4,0.0,30,1026,3,-0.053695682900550185,-238535.19070786107,-238435.87318162317,94372.37890999619,83150.39293761739,-9.619667893009844,492274.144460348,1.0,6.123233995736766e-17,1.5439369673858852,-0.004399845045318998,-0.006628465292833222
2024-03-01,Amberd2,-881.0998787027493,11945.688073394496,4,0.0,30,1026,3,-0.07375882186854853,-4463.45007528377,-4150.404774900675,94433.0516928708,82557.47796977444,-9.619667893009844,358370.6422018349,1.0,6.123233995736766e-17,2.1208217421239963,-0.053695682900550185,-0.08643608043853698
2024-03-01,Amberd2,-881.0998787027493,254994.44243909852,4,0.0,30,1026,3,-0.003455368949514209,243048.75436570402,243051.69014552055,94449.75622039051,117279.14799056308,-9.619667893009844,7649833.273172956,1.0,6.123233995736766e-17,0.09935383198297411,-0.07375882186854853,-0.11649602553755896
2024-03-02,Amberd2,-668.8050817583862,16176.530727776924,5,0.0,30,1020,3,-0.04134416043917084,-238817.9117113216,-238717.83158678433,94372.22041342339,83176.60062102247,-8.619667893009844,485295.9218333077,1.0,6.123233995736766e-17,1.1887878920507193,-0.003455368949514209,-0.005458273629702488
2024-03-02,Amberd2,-668.8050817583862,12101.284403669724,5,0.0,30,1020,3,-0.05526728068266626,-4075.2463241072,-3901.1219732290574,94424.08585684847,82619.29748198975,-8.619667893009844,363038.5321100917,1.0,6.123233995736766e-17,1.5891258500408407,-0.04134416043917084,-0.07009667894517042
2024-03-02,Amberd2,-668.8050817583862,255044.935503766,5,0.0,30,1020,3,-0.002622302930412475,242943.65110009626,243281.26577899535,94440.91687840428,117373.76402184622,-8.619667893009844,7651348.06511298,1.0,6.123233995736766e-17,0.07540029691859403,-0.05526728068266626,-0.0953542192526569
2024-03-03,Amberd2,-483.9556598179042,16322.265238837976,7,0.0,29,1013,3,-0.02965003035647019,-238722.67026492802,-238622.06361770135,94489.49504875798,83284.89779074602,-6.619667893009844,473345.6919263013,1.0,6.123233995736766e-17,0.8525411258155162,-0.002622302930412475,-0.004399845045318998
2024-03-03,Amberd2,-483.9556598179042,12113.02752293578,7,0.0,29,1013,3,-0.039953319589305286,-4209.237715902196,-4296.110625742487,94493.40942184668,82671.16770135425,-6.619667893009844,351277.7981651376,1.0,6.123233995736766e-17,1.148796397616521,-0.02965003035647019,-0.053695682900550185
2024-03-03,Amberd2,-483.9556598179042,255095.6123691599,7,0.0,29,1013,3,-0.0018971539938427125,242982.5848462241,243149.9242957654,94510.30171031131,117406.87117217787,-6.619667893009844,7397772.758705637,1.0,6.123233995736766e-17,0.054549751966885315,-0.039953319589305286,-0.07375882186854853
2024-03-04,Amberd2,-324.7605182045663,16801.107203752865,8,0.0,35,1014,3,-0.019329709302255065,-238294.50516540703,-238193.33523534564,94669.91569861626,83379.25185284276,-5.619667893009844,588038.7521313502,1.0,6.123233995736766e-17,0.5557961301255492,-0.0018971539938427125,-0.003455368949514209
2024-03-04,Amberd2,-324.7605182045663,12491.743119266055,8,0.0,35,1014,3,-0.0259980144567404,-4309.36408448681,-3684.787608510869,94796.15423072636,82852.85362305552,-5.619667893009844,437211.00917431194,1.0,6.123233995736766e-17,0.7475330125279567,-0.019329709302255065,-0.04134416043917084
2024-03-04,Amberd2,-324.7605182045663,255146.97286143835,8,0.0,35,1014,3,-0.001272837041970052,242655.2297421723,243045.6884577686,94813.27439481916,117573.6662598796,-5.619667893009844,8930144.050150342,1.0,6.123233995736766e-17,0.03659847601147702,-0.0259980144567404,-0.05526728068266626
2024-03-05,Amberd2,-189.5146899542888,16684.708860502804,8,0.0,37,1015,3,-0.011358585369321071,-238462.26400093554,-238360.2266432632,94774.47494706915,83522.205310842,-5.619667893009844,617334.2278386038,1.0,6.123233995736766e-17,0.32659869288530025,-0.001272837041970052,-0.002622302930412475
2024-03-05,Amberd2,-189.5146899542888,12283.302752293575,8,0.0,37,1015,3,-0.015428642749923432,-4401.4061082092285,-4038.9624865444002,94704.994824745,82945.21066990709,-5.619667893009844,454482.2018348623,1.0,6.123233995736766e-17,0.44362694748320125,-0.011358585369321071,-0.02965003035647019
2024-03-05,Amberd2,-189.5146899542888,255198.9736511525,8,0.0,37,1015,3,-0.0007426154080593926,242915.67089885892,243085.94612821675,94722.32842131639,117671.77440250947,-5.619667893009844,9442362.025092643,1.0,6.123233995736766e-17,0.021352766537614927,-0.015428642749923432,-0.039953319589305286
2024-03-06,Amberd2,-77.00803277920932,16834.22868353947,9,0.05,40,1013,3,-0.00457449130737471,-238364.74496761305,-238261.38368562044,94772.16836232861,83634.43387599227,-4.619667893009844,673369.1473415787,1.0,6.123233995736766e-17,0.13153247812346633,-0.0007426154080593926,-0.0018971539938427125
2024-03-06,Amberd2,-77.00803277920932,12259.816513761469,9,0.05,40,1013,3,-0.006281336485971785,-4574.412169778001,-4541.290689991396,94764.33961615124,82985.67806313637,-4.619667893009844,490392.66055045876,1.0,6.123233995736766e-17,0.1806101921311484,-0.00457449130737471,-0.019329709302255065
2024-03-06,Amberd2,-77.00803277920932,255250.5960769377,9,0.05,40,1013,3,-0.0003016957999815896,242990.77956317624,242758.85295767165,94781.54709141298,117665.51419994661,-4.619667893009844,10210023.843077509,1.0,6.123233995736766e-17,0.008674799785288907,-0.006281336485971785,-0.0259980144567404
2024-03-07,Amberd2,14.85264228968299,16972.3925706493,7,3.92,61,1010,3,0.0008751059833112724,-238278.2035062884,-238174.58029078905,94827.60172044957,83640.5741584053,-6.619667893009844,1035315.9468096072,1.0,6.123233995736766e-17,-0.02516232972615765,-0.0003016957999815896,-0.001272837041970052
2024-03-07,Amberd2,14.85264228968299,12421.284403669724,7,3.92,61,1010,3,0.0011957412620948401,-4551.108166979575,-4263.42445683308,94881.42435041898,83031.51352171485,-6.619667893009844,757698.3486238532,1.0,6.123233995736766e-17,-0.03438170516233367,0.0008751059833112724,-0.011358585369321071
2024-03-07,Amberd2,14.85264228968299,255301.8901773188,7,3.92,61,1010,3,5.8176781532510996e-05,242880.60577364906,243018.5874250252,94898.52238387936,117748.45458243275,-6.619667893009844,15573415.300816447,1.0,6.123233995736766e-17,-0.0016727840824360919,0.0011957412620948401,-0.015428642749923432
2024-03-08,Amberd2,88.92305424177903,17097.307865844487,6,1.52,61,1014,3,0.005200997428339099,-238204.5823114743,-238101.66578530803,94940.16081561109,83733.9308988173,-7.619667893009844,1042935.7798165136,1.0,6.123233995736766e-17,-0.1495467002768928,5.8176781532510996e-05,-0.0007426154080593926
